population,price,income,employment,poverty,area,tract
3640,687600,95256,58.9,202,311,"Census Tract 1375.01, Los Angeles County, California"
3846,"1,000,000+",106405,59.4,48,312,"Census Tract 1375.02, Los Angeles County, California"
1885,798100,189876,64.2,35,313,"Census Tract 1375.04, Los Angeles County, California"
4585,536500,163467,68.1,152,314,"Census Tract 1380, Los Angeles County, California"
4907,516200,87302,75.7,226,315,"Census Tract 1390.01, Los Angeles County, California"
5393,637600,77489,69.7,429,316,"Census Tract 1392, Los Angeles County, California"
5064,335000,117519,61.8,218,317,"Census Tract 1393.01, Los Angeles County, California"
4183,359300,57436,67.1,532,318,"Census Tract 1393.02, Los Angeles County, California"
4613,435300,55561,66.4,842,319,"Census Tract 1393.03, Los Angeles County, California"
2961,858700,65261,68.8,246,320,"Census Tract 1394.01, Los Angeles County, California"
3205,658700,141233,49.1,193,321,"Census Tract 1394.02, Los Angeles County, California"
2853,348500,76707,56.6,157,322,"Census Tract 1395.02, Los Angeles County, California"
5197,398600,62904,68.7,720,323,"Census Tract 1395.03, Los Angeles County, California"
3445,"1,000,000+",51591,64.5,265,324,"Census Tract 1395.04, Los Angeles County, California"
5131,979700,150530,71.3,348,325,"Census Tract 1396, Los Angeles County, California"
4959,"1,000,000+",177458,61,122,326,"Census Tract 1397.01, Los Angeles County, California"
5863,"1,000,000+",197769,58.3,197,327,"Census Tract 1397.02, Los Angeles County, California"
2744,"1,000,000+",168996,67.9,115,328,"Census Tract 1397.03, Los Angeles County, California"
3210,"1,000,000+",192446,51.5,46,329,"Census Tract 1398.01, Los Angeles County, California"
3813,617700,207383,55.7,88,330,"Census Tract 1398.02, Los Angeles County, California"
4331,910300,89198,76.1,236,331,"Census Tract 1411.01, Los Angeles County, California"
3047,615200,120345,79.5,136,332,"Census Tract 1411.02, Los Angeles County, California"
3765,958700,74064,79.5,263,333,"Census Tract 1412.01, Los Angeles County, California"
2758,762600,137336,67.4,169,334,"Census Tract 1412.02, Los Angeles County, California"
5669,359900,100773,77.1,482,335,"Census Tract 1413.02, Los Angeles County, California"
3359,711700,71781,78.4,358,336,"Census Tract 1413.03, Los Angeles County, California"
3138,944000,97024,77.3,192,337,"Census Tract 1413.04, Los Angeles County, California"
4500,"1,000,000+",130382,64.2,255,338,"Census Tract 1414, Los Angeles County, California"
3066,"1,000,000+",266795,61.4,73,339,"Census Tract 1415, Los Angeles County, California"
3702,"1,000,000+",207171,64.7,107,340,"Census Tract 1416, Los Angeles County, California"
3197,954500,254099,70.5,99,341,"Census Tract 1417, Los Angeles County, California"
4249,587700,110365,79.4,281,342,"Census Tract 1431, Los Angeles County, California"
4059,731200,76306,82.3,303,343,"Census Tract 1432, Los Angeles County, California"
6303,801500,103800,76.8,336,344,"Census Tract 1433, Los Angeles County, California"
6402,791000,115756,78.4,423,345,"Census Tract 1434, Los Angeles County, California"
4489,685500,133925,79.8,286,346,"Census Tract 1435, Los Angeles County, California"
4168,644800,112572,69.1,372,347,"Census Tract 1436.02, Los Angeles County, California"
2223,416700,88579,83,226,348,"Census Tract 1436.03, Los Angeles County, California"
3023,"1,000,000+",97946,85.9,241,349,"Census Tract 1436.04, Los Angeles County, California"
3707,"1,000,000+",179884,74.2,126,350,"Census Tract 1437, Los Angeles County, California"
